country,total,at_risk,risk_rate,country_name
AR,55,48,87.3,Argentina
EG,75,64,85.3,Egypt
HR,54,46,85.2,Croatia
CZ,58,49,84.5,Czech Republic
PL,172,145,84.3,Poland
SE,76,64,84.2,Sweden
RU,61,51,83.6,Russia
PT,61,50,82.0,Portugal
FI,81,66,81.5,Finland
TR,80,65,81.2,Turkey
PH,749,607,81.0,Philippines
DE,314,253,80.6,Germany
IT,138,111,80.4,Italy
JM,50,40,80.0,Jamaica
BR,180,143,79.4,Brazil
GB,1180,932,79.0,United Kingdom
ES,90,70,77.8,Spain
SG,292,227,77.7,Singapore
CA,978,755,77.2,Canada
NL,114,88,77.2,Netherlands
